url,WeekID,Week Position,Song_caller,Performer_caller,SongID_caller,Instance,Previous Week Position,Peak Position,Weeks on Chart,spotify_genre,spotify_track_id,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
http://www.billboard.com/charts/hot-100/2016-06-18,6/18/2016,96,Ophelia,The Lumineers,OpheliaThe Lumineers,4,97,96,6,"['dance pop', 'pop', 'pop rap', 'r&b', 'trap', 'urban contemporary']",43hHjvaO9brl5t7ywedeyx,Chapter V (Deluxe),FALSE,252453,57,0.587,0.648,0,-6.954,1,0.089,0.0279,0,0.962,0.37,119.888,4
http://www.billboard.com/charts/hot-100/2015-01-17,1/17/2015,84,Dear Future Husband,Meghan Trainor,Dear Future HusbandMeghan Trainor,4,64,64,7,"['dance pop', 'pop', 'post-teen pop']",2ipJSuGf1GtxSIt2KvOGxl,Breathe In. Breathe Out.,FALSE,185920,54,0.847,0.882,11,-4.536,0,0.0551,0.0416,0.000201,0.103,0.793,122.013,4
http://www.billboard.com/charts/hot-100/2008-09-13,9/13/2008,87,Shut Up And Let Me Go,The Ting Tings,Shut Up And Let Me GoThe Ting Tings,4,72,72,7,"['contemporary country', 'pop']",6FWrlXo99QRmPtOeUSWDjv,The First Time,FALSE,183946,58,0.638,0.733,4,-4.7,1,0.052,0.231,0,0.103,0.651,87.999,4
http://www.billboard.com/charts/hot-100/2016-06-25,6/25/2016,90,Ophelia,The Lumineers,OpheliaThe Lumineers,4,96,90,7,"['hip hop', 'pop', 'pop rap', 'r&b', 'trap', 'trap soul']",5UPNBWFU2TEf9kauIITfBs,Free TC,TRUE,178506,62,0.77,0.69,1,-5.565,1,0.136,0.265,0,0.128,0.732,103.035,4
http://www.billboard.com/charts/hot-100/2017-05-06,5/6/2017,91,Scared To Be Lonely,Martin Garrix & Dua Lipa,Scared To Be LonelyMartin Garrix & Dua Lipa,4,80,80,7,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",4cg1yakyRSIOjxKM2I7J1q,Slime Season 3,TRUE,176386,69,0.769,0.632,10,-4.228,0,0.0537,0.0325,0,0.116,0.294,131.932,4
https://www.billboard.com/charts/hot-100/2018-01-20,1/20/2018,91,Broken Halos,Chris Stapleton,Broken HalosChris Stapleton,4,91,91,7,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",2VQc9orzwE6a5qFfy54P6e,Coloring Book,FALSE,221939,63,0.714,0.343,10,-7.641,1,0.38,0.723,5.48E-06,0.102,0.372,72.348,4
http://www.billboard.com/charts/hot-100/2016-12-24,12/24/2016,98,Sex With Me,Rihanna,Sex With MeRihanna,4,100,92,7,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",7Gs3otHnZDq514kFHf0nx7,DC4,TRUE,227808,66,0.515,0.431,4,-8.251,1,0.257,0.665,0,0.147,0.184,141.392,4
http://www.billboard.com/charts/hot-100/2008-09-20,9/20/2008,76,Shut Up And Let Me Go,The Ting Tings,Shut Up And Let Me GoThe Ting Tings,4,87,72,8,"['atl hip hop', 'pop rap', 'rap', 'trap']",4oLuMvGQ4WJfU2s4OM6nfE,Culture,TRUE,153557,53,0.825,0.7,11,-5.098,0,0.243,0.0379,0,0.139,0.317,132.996,4
http://www.billboard.com/charts/hot-100/2010-12-25,12/25/2010,83,Angel,Akon,AngelAkon,4,56,56,8,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",16dXg2YuFOxwDC3cTf5jde,Painting Pictures,TRUE,219753,57,0.666,0.693,1,-3.638,1,0.199,0.047,0,0.115,0.132,159.972,4
http://www.billboard.com/charts/hot-100/2013-09-07,9/7/2013,86,Red,Taylor Swift,RedTaylor Swift,4,85,85,8,"['dance pop', 'pop', 'post-teen pop']",5kRPPEWFJIMox5qIkQkiz5,Harry Styles,FALSE,224866,78,0.427,0.262,7,-8.541,1,0.0276,0.746,0,0.068,0.228,104.085,4
